title,country,culture,image
Victory,American,American,https://images.metmuseum.org/CRDImages/ad/original/DT2570.jpg
Mrs. Schuyler Van Rensselaer (Mariana Griswold),American,American,https://images.metmuseum.org/CRDImages/ad/original/DT94.jpg
Hiawatha,American,American,https://images.metmuseum.org/CRDImages/ad/original/2001.641.jpg
Mrs. Thomas Brewster Coolidge,American,American,https://images.metmuseum.org/CRDImages/ad/original/ap20.75.jpg
General William Tecumseh Sherman,American,American,https://images.metmuseum.org/CRDImages/ad/original/DP169674.jpg
Liberty Figure; Fleeing Nude Female Figure with Putti (from Sketchbook),American,American,https://images.metmuseum.org/CRDImages/ad/original/266527.jpg
Diana,American,American,https://images.metmuseum.org/CRDImages/ad/original/DT8214.jpg
Cleopatra,American,American,https://images.metmuseum.org/CRDImages/ad/original/DT10855.jpg
Head of Victory,American,American,https://images.metmuseum.org/CRDImages/ad/original/DT2584.jpg
Eagle,American,American,https://images.metmuseum.org/CRDImages/ad/original/2002.21.jpg
The Puritan,American,American,https://images.metmuseum.org/CRDImages/ad/original/DT90.jpg
Study of the Horse for the Statue of Major General George Henry Thomas,American,American,https://images.metmuseum.org/CRDImages/ad/original/DP-1072-1.jpg
Giuseppe Ceracchi,American,American,https://images.metmuseum.org/CRDImages/ad/original/DT252032.jpg
Admiral David Glasgow Farragut,American,American,https://images.metmuseum.org/CRDImages/ad/original/DP169675.jpg
Abraham Lincoln: The Man (Standing Lincoln),American,American,https://images.metmuseum.org/CRDImages/ad/original/DP260450.jpg
Henry Ward Beecher,American,American,https://images.metmuseum.org/CRDImages/ad/original/DP-1073-001.jpg
The Titan's Goblet,American,American,https://images.metmuseum.org/CRDImages/ad/original/DP-12799-001.jpg
Presentation Vase,American,American,https://images.metmuseum.org/CRDImages/ad/original/DP140833.jpg
"The Great Statue of Amida Buddha at Kamakura, Known as the Daibutsu, from the Priest's Garden",American,American,https://images.metmuseum.org/CRDImages/ad/original/DT93.jpg
"Wyoming Valley, Pennsylvania",American,American,https://images.metmuseum.org/CRDImages/ad/original/ap25.110.63.jpg
Josephine Shaw Lowell,American,American,https://images.metmuseum.org/CRDImages/ad/original/25.89_withoutframe.jpeg
"Merced River, Yosemite Valley",American,American,https://images.metmuseum.org/CRDImages/ad/original/DT2961.jpg
Arques-la-Bataille,American,American,https://images.metmuseum.org/CRDImages/ad/original/DP161238.jpg
In the Woods,American,American,https://images.metmuseum.org/CRDImages/ad/original/co.ap.95.13.1_1.jpg
William Henry II and Cornelius Vanderbilt III,American,American,https://images.metmuseum.org/CRDImages/ad/original/SF.APS.TR.277.2010.0 1.jpg
William Shakespeare,American,American,https://images.metmuseum.org/CRDImages/ad/original/17.90.2.jpg
George Washington,American,American,https://images.metmuseum.org/CRDImages/ad/original/DP-1074-001.jpg
"Sketch of Saint Gaudens's Statue of Deacon Samuel Chapin, Springfield, Massachusetts",American,American,https://images.metmuseum.org/CRDImages/ad/original/ap1999.249.jpg
Still Hunt,American,American,https://images.metmuseum.org/CRDImages/ad/original/DP260538.jpg
Native American and Equestrian Studies (from Sketchbook),American,American,https://images.metmuseum.org/CRDImages/ad/original/266081.jpg
"Torre dei Schiavi, The Roman Campagna (from Cropsey Album)",American,American,https://images.metmuseum.org/CRDImages/ad/original/ap1970.9.26 recto.jpg
"Study for ""The Landing of Columbus on San Salvador, October 12, 1492"": Roderigo Sánchez of Segovia",American,American,https://images.metmuseum.org/CRDImages/ad/original/ap1989.301.jpg
Study for Treaty with Native Americans (from Sketchbook),American,American,https://images.metmuseum.org/CRDImages/ad/original/266104.jpg
John Singer Sargent,American,American,https://images.metmuseum.org/CRDImages/ad/original/DP168885.jpg
"Study for ""The Siege of Gibraltar"": Three Figures",American,American,https://images.metmuseum.org/CRDImages/ad/original/DT201339.jpg
Inside the Bar,American,American,https://images.metmuseum.org/CRDImages/ad/original/DT2662.jpg
United States Ten-dollar Gold Piece,American,American,https://images.metmuseum.org/CRDImages/ad/original/DP170358.jpg
Embroidered Picture,American,American,https://images.metmuseum.org/CRDImages/ad/original/ADA2908.jpg
"Incidents of Travel in Central America, Chiapas, and Yucatan",American,"London: J. Murray, 1842 (new ed.)",https://images.metmuseum.org/CRDImages/li/original/liUD s83 1842 v.1.R.jpg
Incidents of Travel in Yucatan,American,"New York: Harper Bros., 1843",https://images.metmuseum.org/CRDImages/li/original/liUDs83v2.R.jpg
Proposed Monument to John L. Carey of Baltimore,American,,https://images.metmuseum.org/CRDImages/dp/original/DP805113.jpg
The Cooke Monument in St. Paul's Churchyard (from Scenes of Old New York),American,,https://images.metmuseum.org/CRDImages/dp/original/DP818548.jpg
"Page McCarty, The Richmond Daily Times, from the American Editors series (N35) for Allen & Ginter Cigarettes",American,,https://images.metmuseum.org/CRDImages/dp/original/DP838887.jpg
"Bartholdi's Statue of Liberty, from the Views series (N53, variation 2) for Virginia Brights Cigarettes",American,,https://images.metmuseum.org/CRDImages/dp/original/DP831868.jpg
"Bartholdi's Statue of Liberty, from the Views series (N53, variation 1) for Virginia Brights Cigarettes",American,,https://images.metmuseum.org/CRDImages/dp/original/DP831867.jpg
"George R. Jones, The New York Times, from the American Editors series (N35) for Allen & Ginter Cigarettes",American,,https://images.metmuseum.org/CRDImages/dp/original/DP838885.jpg
The Great Bartholdi Statue – Liberty Enlightening the World,American,,https://images.metmuseum.org/CRDImages/dp/original/DP242153.jpg
"New York, from the City Flags series (N6) for Allen & Ginter Cigarettes Brands",American,,https://images.metmuseum.org/CRDImages/dp/original/DP829257.jpg
